"Abraomas Popelis","Q12646930"
"Agnė Bilotaitė","Q395152"
"Agnė Zuokienė","Q395156"
"Agnė Širinskienė","Q28933945"
"Aidas Gedvilas","Q403927"
"Aistė Gedvilienė","Q65314279"
"Albertas Miškinis","Q4711869"
"Albertas Sereika","Q12647379"
"Albertas Šimėnas","Q2060714"
"Alberts Šimens","Q2060714"
"Albinas Albertynas","Q12647400"
"Albinas Januška","Q4712417"
"Albinas Lozuraitis","Q15728348"
"Albinas Mitrulevičius","Q9144510"
"Albinas Vaižmužis","Q15506834"
"Aldona Balsienė","Q2640534"
"Aldona Staponkienė","Q12647463"
"Aleksander Poplavski","Q9145900"
"Aleksander Popławski","Q9145900"
"Aleksander Sacharuk","Q2543949"
"Aleksandr Sacharuk","Q2543949"
"Aleksandras Abišala","Q2001278"
"Aleksandras Algirdas Abišala","Q2001278"
"Aleksandras Ambrazevičius","Q4715603"
"Aleksandras Bendinskas","Q12647508"
"Aleksandras Zeltinis","Q15782189"
"Alfonsas Andriuskevicius","Q4721974"
"Alfonsas Andriuškevičius (1940)","Q4721974"
"Alfonsas Andriuškevičius","Q14772771"
"Alfonsas Andriuškevičius","Q4721974"
"Alfonsas Bartkus","Q12647633"
"Alfonsas Giedraitis","Q12647643"
"Alfonsas Macaitis","Q12647657"
"Alfonsas Navickas","Q12647670"
"Alfonsas Pulokas","Q1327642"
"Alfonsas Svarinskas","Q4409955"
"Alfonsas Vaišnoras","Q12647676"
"Alfonsas Žalys","Q556195"
"Alfredas Henrikas Stasiulevičius","Q15402091"
"Alfredas Pekeliūnas","Q1225732"
"Alfredas Stasys Nausėda","Q12647705"
"Algimantas Antanas Greimas","Q2646524"
"Algimantas Dumbrava","Q1261946"
"Algimantas Kirkutis","Q12647769"
"Algimantas Matulevičius","Q774815"
"Algimantas Norvilas","Q4724239"
"Algimantas Povilas Tauras","Q15728464"
"Algimantas Salamakinas","Q1557883"
"Algimantas Sėjūnas","Q2542293"
"Algimantas Valentinas Indriūnas","Q12647817"
"Algimantas Vincas Ulba","Q4231956"
"Algirdas Butkevičius","Q394006"
"Algirdas Endriukaitis","Q4724245"
