id,name,party,partyLabel
,Remigijus Ačas,Q81517,TT
Q3672488,Mantas Adomėnas,Q81556,TS
Q3672697,Vilija Aleknaitė-Abramikienė,Q81556,TS
Q774300,Vytenis Andriukaitis,Q4362,LSDP
Q3672207,Arvydas Anušauskas,Q81556,TS
Q2080450,Petras Auštrevičius,Q1466907,LS
Q58201,Audronius Ažubalis,Q81556,TS
Q117150,Zigmantas Balčytis,Q4362,LSDP
,Linas Balsys,,
,Virginija Baltraitienė,"",DP
,Kęstutis Bartkevičius,Q81517,TT
,Mindaugas Bastys,Q4362,LSDP
Q541371,Rima Baškienė,Q285817,LVŽS
Q1305783,Juozas Bernatonis,Q4362,LSDP
Q395152,Agnė Bilotaitė,Q81556,TS
Q391280,Šarūnas Birutis,"",DP
Q435394,Vilija Blinkevičiūtė,Q4362,LSDP
,Bronius Bradauskas,Q4362,LSDP
,Stasys Brundza,Q1261824,DK
,Saulius Bucevičius,"",DP
,Valentinas Bukauskas,"",DP
Q394006,Algirdas Butkevičius,Q4362,LSDP
,Vida Marija Čigriejienė,Q81556,TS
,Petras Čimbaras,"",DP
Q270330,Viktorija Čmilytė-Nielsen,Q1466907,LS
Q562964,Rimantas Dagys,Q81556,TS
,Kęstutis Daukšys,"",DP
Q270360,Irena Degutienė,Q81556,TS
,Sergej Dmitrijev,"",DP
,Larisa Dmitrijeva,"",DP
,Arūnas Dudėnas,Q4362,LSDP
,Algimantas Dumbrava,Q81517,TT
,Arimantas Dumčius,Q81556,TS
,Vilija Filipovičienė,"",DP
,Viktoras Fiodorovas,"",DP
,Vitalijus Gailius,Q1466907,LS
,Vytautas Gapšys,"",DP
Q556431,Vydas Gedvilas,"",DP
Q204847,Eugenijus Gentvilas,Q1466907,LS
,Povilas Gylys,Q1261824,DK
Q556443,Kęstutis Glaveckas,Q1466907,LS
Q774843,Loreta Graužinienė,"",DP
,Petras Gražulis,Q81517,TT
,Kazys Grybauskas,Q4362,LSDP
Q12679521,Šarūnas Gustainis,Q1466907,LS
,Gediminas Jakavonis,"",DP
,Saulius Jakimavičius,"",DP
,Donatas Jankauskas,Q81556,TS
,Zbignev Jedinskij,Q1357218,LLRA
,Edmundas Jonyla,Q4362,LSDP
Q2453848,Sergejus Jovaiša,Q81556,TS
Q271646,Rasa Juknevičienė,Q81556,TS
,Benediktas Juodka,Q4362,LSDP
Q1361304,Vytautas Juozapaitis,Q81556,TS
,Vytautas Kamblevičius,Q81517,TT
,Algis Kašėta,Q1466907,LS
,Liutauras Kazlavickas,Q81556,TS
Q118937,Gediminas Kirkilas,Q4362,LSDP
,Kęstas Komskis,Q81517,TT
,Jonas Kondrotas,"",DP
Q9370800,Vanda Kravčionok,Q1357218,LLRA
Q1157636,Dainius Kreivys,Q81556,TS
Q57663,Andrius Kubilius,Q81556,TS
,Dalia Kuodytė,Q1466907,LS
,Rytas Kupčinskas,Q81556,TS
,Kazimieras Kuzminskas,Q81556,TS
,Juzef Kvetkovskij,Q1357218,LLRA
,Orinta Leiputė,Q4362,LSDP
,Arminas Lydeka,Q1466907,LS
Q5765050,Michal Mackevič,Q1357218,LLRA
Q339166,Vincė Vaidevutė Margevičienė,Q81556,TS
,Raimundas Markauskas,"",DP
Q371858,Eligijus Masiulis,Q1466907,LS
,Kęstutis Masiulis,Q81556,TS
,Antanas Matulas,Q81556,TS
,Vytautas Antanas Matulevičius,Q1261824,DK
,Andrius Mazuronis,Q81517,TT
Q557932,Valentinas Mazuronis,Q81517,TT
